1-800 FLOWERS.COM Inc. (FLWS) ,FLWS,644760000, 10/28/2014 , Sep 2014 , $-0.07 , 2 , $-0.06 ,-14.29%
A.H. Belo Corporation (AHC) ,AHC,117290000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.1 ,n/a
Acadia Realty Trust (AKR) ,AKR,2260000000, 10/28/2014 , Sep 2014 , $0.36 , 4 , $0.33 ,-8.33%
Active Power Inc. (ACPW) ,ACPW,38130000, 10/28/2014 , Sep 2014 , $-0.21 , 1 , $-0.11 ,-47.62%
Advantest Corporation (Kabushiki Kaisha Advantest) ADS (ATE) ,ATE,1390000000, 10/28/2014 , Sep 2014 , $n/a , 0 , $-0.31 ,n/a
Aetna Inc. (AET) ,AET,40010000000, 10/28/2014 , Sep 2014 , $1.58 , 16 , $1.79 ,13.29%
Aflac Incorporated (AFL) ,AFL,27460000000, 10/28/2014 , Sep 2014 , $1.43 , 16 , $1.51 ,5.59%
AGCO Corporation (AGCO) ,AGCO,4220000000, 10/28/2014 , Sep 2014 , $0.63 , 12 , $0.71 ,12.7%
Aixtron SE (AIXG) ,AIXG,710740000, 10/28/2014 , Sep 2014 , $-0.12 , 2 , $-0.23 ,91.67%
Alere Inc. (ALR) ,ALR,3950000000, 10/28/2014 , Sep 2014 , $0.52 , 1 , $0.44 ,-15.38%
AMC Entertainment Holdings Inc. (AMC) ,AMC,2670000000, 10/28/2014 , Sep 2014 , $0.03 , 7 , $0.08 ,166.67%
American Financial Group Inc. (AFG) ,AFG,6320000000, 10/28/2014 , Sep 2014 , $1.16 , 5 , $1.4 ,20.69%
American National Insurance Company (ANAT) ,ANAT,2780000000, 10/28/2014 , Sep 2014 , $n/a , 0 , $2.58 ,n/a
AMERIPRISE FINANCIAL SERVICES INC. (AMP) ,AMP,20560000000, 10/28/2014 , Sep 2014 , $1.95 , 4 , $2.24 ,14.87%
AMTEK Inc. (AME) ,AME,13280000000, 10/28/2014 , Sep 2014 , $0.61 , 6 , $0.62 ,1.64%
Anadarko Petroleum Corporation (APC) ,APC,33980000000, 10/28/2014 , Sep 2014 , $1.3 , 14 , $1.16 ,-10.77%
Anixter International Inc. (AXE) ,AXE,2260000000, 10/28/2014 , Sep 2014 , $1.71 , 4 , $1.69 ,-1.17%
Apollo Commercial Real Estate Finance (ARI) ,ARI,970510000, 10/28/2014 , Sep 2014 , $0.43 , 2 , $0.44 ,2.33%
Applied Micro Circuits Corporation (AMCC) ,AMCC,528320000, 10/28/2014 , Sep 2014 , $-0.1 , 1 , $-0.12 ,20%
Arch Coal Inc. (ACI) ,ACI,31900000, 10/28/2014 , Sep 2014 , $-0.41 , 10 , $-0.45 ,9.76%
ARI Network Services Inc. (ARIS) ,ARIS,62390000, 10/28/2014 , Jul 2014 , $n/a , 0 , $-0.01 ,n/a
Arthur J. Gallagher & Co. (AJG) ,AJG,7730000000, 10/28/2014 , Sep 2014 , $0.68 , 11 , $0.68 ,0%
Aspen Technology Inc. (AZPN) ,AZPN,3450000000, 10/28/2014 , Sep 2014 , $0.27 , 1 , $0.32 ,18.52%
AutoNation Inc. (AN) ,AN,6990000000, 10/28/2014 , Sep 2014 , $0.86 , 8 , $0.9 ,4.65%
Ballard Power Systems Inc. (BLDP) ,BLDP,231680000, 10/28/2014 , Sep 2014 , $-0.01 , 1 , $-0.02 ,100%
Barrett Business Services Inc. (BBSI) ,BBSI,352760000, 10/28/2014 , Sep 2014 , $1.32 , 2 , $1.35 ,2.27%
Big 5 Sporting Goods Corporation (BGFV) ,BGFV,201020000, 10/28/2014 , Sep 2014 , $0.27 , 4 , $0.34 ,25.93%
Bio-Techne Corp (TECH) ,TECH,3280000000, 10/28/2014 , Sep 2014 , $0.87 , 5 , $0.85 ,-2.3%
Black Box Corporation (BBOX) ,BBOX,187730000, 10/28/2014 , Sep 2014 , $0.53 , 1 , $0.37 ,-30.19%
Boston Properties Inc. (BXP) ,BXP,19330000000, 10/28/2014 , Sep 2014 , $1.37 , 14 , $1.46 ,6.57%
BP p.l.c. (BP) ,BP,109180000000, 10/28/2014 , Sep 2014 , $0.9 , 3 , $0.99 ,10%
C.H. Robinson Worldwide Inc. (CHRW) ,CHRW,10050000000, 10/28/2014 , Sep 2014 , $0.8 , 14 , $0.85 ,6.25%
Cabot Corporation (CBT) ,CBT,2260000000, 10/28/2014 , Sep 2014 , $0.65 , 5 , $0.85 ,30.77%
CAI International Inc. (CAI) ,CAI,246570000, 10/28/2014 , Sep 2014 , $0.66 , 7 , $0.69 ,4.55%
Camden National Corporation (CAC) ,CAC,291330000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.86 ,n/a
Capella Education Company (CPLA) ,CPLA,538460000, 10/28/2014 , Sep 2014 , $0.55 , 8 , $0.62 ,12.73%
Capital City Bank Group (CCBG) ,CCBG,264860000, 10/28/2014 , Sep 2014 , $0.11 , 3 , $0.12 ,9.09%
Capital Trust Inc. (BXMT) ,BXMT,2570000000, 10/28/2014 , Sep 2014 , $0.45 , 3 , $0.45 ,0%
Cascade Bancorp (CACB) ,CACB,408360000, 10/28/2014 , Sep 2014 , $0.03 , 2 , $0.05 ,66.67%
Cascade Microtech Inc. (CSCD) ,CSCD,254820000, 10/28/2014 , Sep 2014 , $0.09 , 3 , $0.15 ,66.67%
Castle (A.M.) & Co. (CAS) ,CAS,56830000, 10/28/2014 , Sep 2014 , $-0.28 , 2 , $-0.55 ,96.43%
