AAC Holdings Inc. (AAC) ,AAC, $532.45M , 10/27/2015 , Sep 2015 , $0.17 , 2 , $0.24 ,41.18%
ABAXIS Inc. (ABAX) ,ABAX, $1.22B , 10/27/2015 , Sep 2015 , $0.32 , 6 , $0.34 ,6.25%
Active Power Inc. (ACPW) ,ACPW, $37.9M , 10/27/2015 , Sep 2015 , $-0.03 , 2 , $-0.08 ,166.67%
Aflac Incorporated (AFL) ,AFL, $27.56B , 10/27/2015 , Sep 2015 , $1.48 , 12 , $1.56 ,5.41%
Agenus Inc. (AGEN) ,AGEN, $397.93M , 10/27/2015 , Sep 2015 , $-0.15 , 3 , $-0.16 ,6.67%
Airgas Inc. (ARG) ,ARG, $7.08B , 10/27/2015 , Sep 2015 , $1.29 , 11 , $1.31 ,1.55%
Aixtron SE (AIXG) ,AIXG, $735.94M , 10/27/2015 , Sep 2015 , $-0.08 , 3 , $0.01 ,-112.5%
AK Steel Holding Corporation (AKS) ,AKS, $465.93M , 10/27/2015 , Sep 2015 , $-0.05 , 8 , $0.04 ,-180%
Akamai Technologies Inc. (AKAM) ,AKAM, $11.24B , 10/27/2015 , Sep 2015 , $0.47 , 6 , $0.53 ,12.77%
Albany International Corporation (AIN) ,AIN, $1.21B , 10/27/2015 , Sep 2015 , $0.37 , 2 , $0.47 ,27.03%
Alibaba Group Holding Limited (BABA) ,BABA, $205.5B , 10/27/2015 , Sep 2015 , $0.32 , 25 , $0.38 ,18.75%
Alliance Holdings GP L.P. (AHGP) ,AHGP, $1.84B , 10/27/2015 , Sep 2015 , $1.12 , 1 , $0.94 ,-16.07%
Alliance Resource Partners L.P. (ARLP) ,ARLP, $1.55B , 10/27/2015 , Sep 2015 , $0.9 , 5 , $0.61 ,-32.22%
American National Insurance Company (ANAT) ,ANAT, $2.8B , 10/27/2015 , Sep 2015 , $n/a , 0 , $1.56 ,n/a
AMTEK Inc. (AME) ,AME, $13.13B , 10/27/2015 , Sep 2015 , $0.65 , 8 , $0.65 ,0%
Anadarko Petroleum Corporation (APC) ,APC, $33.3B , 10/27/2015 , Sep 2015 , $-0.72 , 12 , $-0.72 ,-0%
Anixter International Inc. (AXE) ,AXE, $2.25B , 10/27/2015 , Sep 2015 , $1.17 , 3 , $1.21 ,3.42%
Apple Inc. (AAPL) ,AAPL, $680.16B , 10/27/2015 , Sep 2015 , $1.88 , 15 , $1.96 ,4.26%
Ardmore Shipping Corporation (ASC) ,ASC, $377.41M , 10/27/2015 , Sep 2015 , $0.37 , 7 , $0.52 ,40.54%
