Data, Period Ending, Estimate, Reported, Surprise, Time, Day1 & Close, Day2 & Open, High, Low, Close 
[10/22/2015, 9/2015, $0.58, $0.67, 0.09(15.52%), AfterClose, 2015-10-22:$48.029999, 2015-10-23:$52.299999, :$54.07, :$52.25, :$52.869999]
[7/21/2015, 6/2015, $0.56, $0.62, 0.06(10.71%), AfterClose, 2015-07-21:$46.970261, 2015-07-22:$45.439999, :$46.93, :$45.200001, :$45.241662]
[4/23/2015, 3/2015, $0.51, $0.62, 0.11(21.57%), AfterClose, 2015-04-23:$42.77806, 2015-04-24:$45.66, :$48.139999, :$45.650002, :$47.249323]
[1/26/2015, 12/2014, $0.70, $0.77, 0.07(10.00%), AfterClose, 2015-01-26:$46.072593, 2015-01-27:$42.950001, :$43.200001, :$42.110001, :$41.809336]
[10/23/2014, 9/2014, $0.49, $0.54, 0.05(10.20%), AfterClose, 2014-10-23:$43.845733, 2014-10-24:$46.830002, :$46.900002, :$45.18, :$44.926782]
[7/22/2014, 6/2014, $0.60, $0.58, -0.02(3.33%), AfterClose, 2014-07-22:$43.389686, 2014-07-23:$45.450001, :$45.450001, :$44.619999, :$43.428398]
[4/24/2014, 3/2014, $0.62, $0.68, 0.06(9.68%), AfterClose, 2014-04-24:$38.309104, 2014-04-25:$40.290001, :$40.68, :$39.75, :$38.357158]
[1/23/2014, 12/2013, $0.68, $0.78, 0.10(14.71%), AfterClose, 2014-01-23:$34.39901, 2014-01-24:$37.450001, :$37.549999, :$36.529999, :$35.114464]
[10/24/2013, 9/2013, $0.54, $0.62, 0.08(14.81%), AfterClose, 2013-10-24:$31.92468, 2013-10-25:$35.880001, :$36.290001, :$35.470001, :$33.827662]
[7/18/2013, 6/2013, $0.74, $0.59, -0.15(20.27%), AfterClose, 2013-07-18:$33.318322, 2013-07-19:$32.400002, :$32.669998, :$31.02, :$29.520184]
[4/18/2013, 3/2013, $0.67, $0.72, 0.05(7.46%), AfterClose, 2013-04-18:$26.877964, 2013-04-19:$29.620001, :$30.24, :$29.610001, :$27.792879]
[1/24/2013, 12/2012, $0.75, $0.81, 0.06(8.00%), AfterClose, 2013-01-24:$25.58319, 2013-01-25:$27.58, :$28.23, :$27.389999, :$25.814671]
[10/18/2012, 9/2012, $0.57, $0.53, -0.04(7.02%), AfterClose, 2012-10-18:$27.092042, 2012-10-19:$29.049999, :$29.08, :$28.50, :$26.302239]
[7/19/2012, 6/2012, $0.63, $0.73, 0.10(15.87%), AfterClose, 2012-07-19:$27.981171, 2012-07-20:$31.00, :$31.049999, :$30.049999, :$27.47939]
[4/19/2012, 3/2012, $0.57, $0.60, 0.03(5.26%), AfterClose, 2012-04-19:$28.106936, 2012-04-20:$32.150002, :$32.889999, :$32.049999, :$29.384934]
[1/19/2012, 12/2011, $0.76, $0.78, 0.02(2.63%), AfterClose, 2012-01-19:$25.320795, 2012-01-20:$28.82, :$29.74, :$28.75, :$26.752517]
[10/20/2011, 9/2011, $0.68, $0.68, 0.00(0.00%), AfterClose, 2011-10-20:$24.166329, 2011-10-21:$27.15, :$27.190001, :$26.799999, :$24.273575]
[7/21/2011, 6/2011, $0.58, $0.69, 0.11(18.97%), AfterClose, 2011-07-21:$24.068043, 2011-07-22:$26.860001, :$27.549999, :$26.68, :$24.449934]
[4/28/2011, 3/2011, $0.56, $0.56, 0.00(0.00%), AfterClose, 2011-04-28:$23.567199, 2011-04-29:$26.549999, :$26.639999, :$25.360001, :$22.870154]
[1/27/2011, 12/2010, $0.68, $0.77, 0.09(13.24%), AfterClose, 2011-01-27:$25.323371, 2011-01-28:$28.90, :$28.93, :$27.450001, :$24.34096]
[10/28/2010, 9/2010, $0.55, $0.62, 0.07(12.73%), AfterClose, 2010-10-28:$22.910775, 2010-10-29:$27.15, :$27.200001, :$26.48, :$23.250774]
[7/22/2010, 6/2010, $0.47, $0.51, 0.04(8.51%), AfterClose, 2010-07-22:$22.407652, 2010-07-23:$25.84, :$26.02, :$25.25, :$22.381637]
[4/22/2010, 3/2010, $0.42, $0.45, 0.03(7.14%), AfterClose, 2010-04-22:$27.098166, 2010-04-23:$31.120001, :$31.58, :$30.65, :$26.726958]
[1/28/2010, 12/2009, $0.59, $0.74, 0.15(25.42%), AfterClose, 2010-01-28:$25.055897, 2010-01-29:$29.90, :$29.92, :$27.66, :$24.213827]
[10/23/2009, 9/2009, $0.32, $0.40, 0.08(25.00%), BeforeOpen, 2009-10-22:$22.747063, 2009-10-23:$29.200001, :$29.35, :$27.879999, :$23.970392]
[7/23/2009, 6/2009, $0.36, $0.36, 0.00(0.00%), AfterClose, 2009-07-23:$21.743662, 2009-07-24:$23.610001, :$23.889999, :$22.809999, :$19.948705]
