Data, Period Ending, Estimate, Reported, Surprise, Time, Day1 & Close, Day2 & Open, Day2 & High, Day2 & Low, Day2 & Close 
[10/27/2015, 9/2015, --, --, --, --, , , , , ]
[7/28/2015, 6/2015, --, $0.95, --, --, 2015-07-28:$104.200435, 2015-07-29:$105.599998, :$106.730003, :$102.32, :$105.003813]
[4/22/2015, 3/2015, --, $1.48, --, --, 2015-04-22:$98.652032, 2015-04-23:$100.800003, :$101.269997, :$100.029999, :$99.213226]
[2/23/2015, 12/2014, --, $2.09, --, --, 2015-02-23:$103.108368, 2015-02-24:$104.669998, :$105.959999, :$104.669998, :$103.2061]
[10/28/2014, 9/2014, --, $2.58, --, --, 2014-10-28:$111.131551, 2014-10-29:$114.730003, :$115.739998, :$112.330002, :$111.2189]
[7/28/2014, 6/2014, --, $1.61, --, --, 2014-07-28:$108.352794, 2014-07-29:$111.660004, :$111.660004, :$109.940002, :$105.990804]
[4/23/2014, 3/2014, --, $1.35, --, --, 2014-04-23:$108.817118, 2014-04-24:$114.400002, :$114.57, :$113.300003, :$109.152263]
[2/24/2014, 12/2013, --, $2.13, --, --, 2014-02-24:$106.210366, 2014-02-25:$111.589996, :$112.18, :$111.050003, :$106.372053]
[10/29/2013, 9/2013, --, $2.02, --, --, 2013-10-29:$96.940269, 2013-10-30:$103.00, :$103.00, :$102.00, :$96.571747]
[7/22/2013, 6/2013, --, $1.11, --, --, 2013-07-22:$102.63284, 2013-07-23:$108.349998, :$110.00, :$105.010002, :$102.792308]
[4/23/2013, 3/2013, --, $1.82, --, --, 2013-04-23:$81.078735, 2013-04-24:$87.32, :$89.199997, :$86.00, :$82.474879]
[2/25/2013, 12/2012, $1.55, $1.41, -0.14(9.03%), --, 2013-02-25:$75.42274, 2013-02-26:$81.970001, :$83.849998, :$80.080002, :$76.7225]
[10/22/2012, 9/2012, $1.63, $1.89, 0.26(15.95%), --, 2012-10-22:$66.149339, 2012-10-23:$72.239998, :$72.639999, :$72.00, :$65.647998]
[7/23/2012, 6/2012, $0.98, $0.65, -0.33(33.67%), --, 2012-07-23:$63.520651, 2012-07-24:$70.25, :$71.029999, :$70.099998, :$63.863321]
[4/23/2012, 3/2012, $1.53, $1.52, -0.01(0.65%), --, 2012-04-23:$62.426932, 2012-04-24:$70.010002, :$70.309998, :$69.639999, :$62.355595]
[2/20/2012, 12/2011, $1.43, $1.29, -0.14(9.79%), --, , , , , ]
[10/24/2011, 9/2011, $1.19, $1.84, 0.65(54.62%), --, 2011-10-24:$65.165894, 2011-10-25:$74.68, :$74.68, :$71.760002, :$62.931737]
[7/25/2011, 6/2011, $1.01, $0.57, -0.44(43.56%), --, 2011-07-25:$65.280432, 2011-07-26:$75.599998, :$76.370003, :$75.599998, :$65.332254]
[4/25/2011, 3/2011, $1.19, $1.28, 0.09(7.56%), --, 2011-04-25:$66.408912, 2011-04-26:$77.959999, :$79.300003, :$77.959999, :$67.794751]
[2/22/2011, 12/2010, $1.11, $0.82, -0.29(26.13%), --, 2011-02-22:$69.64091, 2011-02-23:$83.139999, :$83.599998, :$80.599998, :$68.277063]
[10/25/2010, 9/2010, $1.24, $1.32, 0.08(6.45%), --, 2010-10-25:$66.768629, 2010-10-26:$79.150002, :$80.32, :$79.150002, :$66.936414]
[7/26/2010, 6/2010, --, $0.55, --, --, 2010-07-26:$69.203069, 2010-07-27:$82.629997, :$83.330002, :$79.959999, :$67.417557]
[4/27/2010, 3/2010, --, $0.91, --, --, 2010-04-27:$88.026806, 2010-04-28:$108.800003, :$113.690002, :$108.040001, :$91.323999]
[2/19/2010, 12/2009, --, $1.13, --, --, 2010-02-19:$90.101536, 2010-02-22:$111.080002, :$111.800003, :$107.489998, :$89.92143]
[10/26/2009, 9/2009, --, $1.25, --, --, 2009-10-26:$70.596468, 2009-10-27:$87.099998, :$87.599998, :$85.730003, :$69.67805]
[7/28/2009, 6/2009, --, $0.05, --, --, 2009-07-28:$63.914586, 2009-07-29:$79.540001, :$79.599998, :$76.599998, :$61.941662]
