,rownames.SPX..z.length.SPX...2...,SP500,average_indicator,smooth_indicator
1997-10-01,1997-10-01,914.619995,-0.118006210430169,-0.118006210430169
1997-11-03,1997-11-03,955.400024,-0.0592341264403744,-0.0592341264403744
1997-12-01,1997-12-01,970.429993,0.195152989587226,0.00263082037777745
1998-01-02,1998-01-02,980.280029,0.263881298109324,0.00341787586061137
1998-02-02,1998-02-02,1049.339966,0.241267679184229,0.00260042166909421
1998-03-02,1998-03-02,1101.75,-0.177447897721791,0.00494316599434339
1998-04-01,1998-04-01,1111.75,-0.170179714656058,0.341241730785687
1998-05-01,1998-05-01,1090.819946,0.484343706847835,0.679017029820942
1998-06-01,1998-06-01,1133.839966,2.07994513686999,1.00878817875195
1998-07-01,1998-07-01,1120.670044,0.226628144524735,0.585263127348645
1998-08-03,1998-08-03,957.280029,-0.142817465943439,0.0432056294282043
1998-09-01,1998-09-01,1017.01001,-1.32704870571428,-0.522764586074765
1998-10-01,1998-10-01,1098.670044,-1.46932791589293,-0.58932881855238
1998-11-02,1998-11-02,1163.630005,-0.9146137074499,-0.419804610698004
1998-12-01,1998-12-01,1229.22998,-0.573127962224203,-0.19330445722954
1999-01-04,1999-01-04,1279.640015,0.264058851053202,-0.011125946229613
1999-02-01,1999-02-01,1238.329956,0.222945702691741,0.0521613156743608
1999-03-01,1999-03-01,1286.369995,0.91410238753354,0.0862504624485542
1999-04-01,1999-04-01,1335.180054,-0.102330275268621,0.0567678959944045
1999-05-03,1999-05-03,1301.839966,-0.103075391717975,0.02741807628785
1999-06-01,1999-06-01,1372.709961,-0.0824512392849567,-0.00133303531841479
1999-07-01,1999-07-01,1328.719971,-0.256981812924922,-0.00173921102525715
1999-08-02,1999-08-02,1320.410034,0.142495946374679,-0.156110421476618
1999-09-01,1999-09-01,1282.709961,0.0726629214095103,-0.311062199732199
1999-10-01,1999-10-01,1362.930054,-1.6121376857625,-0.967698870370907
1999-11-01,1999-11-01,1388.910034,-0.206404514200962,-1.32093975706944
1999-12-01,1999-12-01,1469.25,-2.38369528515642,-1.61803992186649
2000-01-03,2000-01-03,1394.459961,-0.555261439478684,-0.910352715924883
2000-02-01,2000-02-01,1366.420044,1.14352231274012,-0.473408207915069
2000-03-01,2000-03-01,1498.579956,0.343546560162538,-0.0814491752681221
2000-04-03,2000-04-03,1452.430054,-1.51285509176021,-0.191188322579293
2000-05-01,2000-05-01,1420.599976,1.21301212424491,-0.0447062207841652
2000-06-01,2000-06-01,1454.599976,0.429819739846602,0.0293230793833867
2000-07-03,2000-07-03,1430.829956,0.547519447986623,0.0991032551673587
2000-08-01,2000-08-01,1517.680054,0.490629925749605,0.0354521275574961
2000-09-01,2000-09-01,1436.51001,0.152418909172268,0.0472919811984233
2000-10-02,2000-10-02,1429.400024,0.573008120042586,0.0494847330237403
2000-11-01,2000-11-01,1314.949951,0.788179870315056,0.0419383983989237
2000-12-01,2000-12-01,1320.280029,-0.692989169734332,0.00226977842775545
2001-01-02,2001-01-02,1366.01001,-0.370377846580336,-0.0341784397101001
2001-02-01,2001-02-01,1239.939941,-0.18298509925471,-0.576765649805796
2001-03-01,2001-03-01,1160.329956,-0.835000528843725,-1.10130143519926
2001-04-02,2001-04-02,1249.459961,-2.40758652448802,-1.59625399412295
2001-05-01,2001-05-01,1255.819946,-0.243875338794109,-1.05933105584552
2001-06-01,2001-06-01,1224.380005,-0.320181843536717,-0.521517484577887
2001-07-02,2001-07-02,1211.22998,0.0752911854316011,-0.152800586087508
2001-08-01,2001-08-01,1133.579956,0.105223140104434,-0.296343857480081
2001-09-04,2001-09-04,1040.939941,-1.59386635666097,-0.442052904799455
2001-10-01,2001-10-01,1059.780029,0.500451601613829,-0.30552619697486
2001-11-01,2001-11-01,1139.449951,-0.346610486335547,-0.178288416299612
2001-12-03,2001-12-03,1148.079956,-0.763437030442607,-0.0479284654435123
2002-01-02,2002-01-02,1130.199951,-0.0819235084698998,-0.0345697164024402
2002-02-01,2002-02-01,1106.72998,-0.0530361958929544,-0.0163796440862313
2002-03-01,2002-03-01,1147.390015,0.0498932363005078,0.000278931637249381
2002-04-01,2002-04-01,1076.920044,0.158833552155032,0.000648164540331394
2002-05-01,2002-05-01,1067.140015,-0.019482066422705,0.000661699369032917
2002-06-03,2002-06-03,989.820007,0.175384805594158,0.00352413180784548
2002-07-01,2002-07-01,911.619995,-0.101312203995041,0.0270026525501862
2002-08-01,2002-08-01,916.070007,0.425532672502613,0.0472260260453356
2002-09-03,2002-09-03,815.280029,0.827823103179408,0.0581161527480069
2002-10-01,2002-10-01,885.76001,-0.454644594444457,0.0270640344926536
2002-11-01,2002-11-01,936.309998,-0.46085695845332,0.00299465098780433
2002-12-02,2002-12-02,879.820007,-0.147909169465711,-0.009492062587834
2003-01-02,2003-01-02,855.700012,0.117496646290991,0.022870396207827
2003-02-03,2003-02-03,841.150024,0.341754017182348,0.0518930898219912
2003-03-03,2003-03-03,848.179993,0.860495569422949,-0.002139557208604
2003-04-01,2003-04-01,916.919983,0.191714354902752,-0.0874728156690712
2003-05-01,2003-05-01,963.590027,-1.27338019348525,-0.186009372509935
2003-06-02,2003-06-02,974.5,0.75620436975556,-0.209394551946198
2003-07-01,2003-07-01,990.309998,-0.700692146630992,-0.218624646248877
2003-08-01,2003-08-01,1008.01001,-1.28873759727084,-0.202269720354031
2003-09-02,2003-09-02,995.969971,0.84804373408743,-0.106803861896228
2003-10-01,2003-10-01,1050.709961,-0.162458430936311,-0.0469338843413289
2003-11-03,2003-11-03,1058.199951,-0.430901753965693,0.000231281423874479
2003-12-01,2003-12-01,1111.920044,-0.557989623160255,-0.0258983082396707
2004-01-02,2004-01-02,1131.130005,-0.196496513247905,-0.0156989853528166
2004-02-02,2004-02-02,1144.939941,0.112345512116707,-0.00663649984887106
2004-03-01,2004-03-01,1126.209961,0.286527168477475,-0.235717005371286
2004-04-01,2004-04-01,1107.300049,-0.346442028068622,-0.472974469308231
2004-05-03,2004-05-03,1120.680054,-1.85149784360029,-0.709569724937769
2004-06-01,2004-06-01,1140.839966,0.00375350600635338,-0.474270200472266
2004-07-01,2004-07-01,1101.719971,-0.386407636816606,-0.22135870801861
2004-08-02,2004-08-02,1104.23999,0.357544930680039,0.0343586791463861
2004-09-01,2004-09-01,1114.579956,0.767443019978065,0.0583435929161387
2004-10-01,2004-10-01,1130.199951,0.124936182722617,0.0491880803767451
2004-11-01,2004-11-01,1173.819946,0.566347539357091,0.0422011485649838
2004-12-01,2004-12-01,1211.920044,0.209601730738597,0.0334708590917933
2005-01-03,2005-01-03,1181.27002,0.493443475900254,0.0555779739556305
2005-02-01,2005-02-01,1203.599976,0.6467552690559,0.0713978539948921
2005-03-01,2005-03-01,1180.589966,0.736208233030863,0.0728520332682966
2005-04-01,2005-04-01,1156.849976,0.409338888579521,0.0447444669233347
2005-05-02,2005-05-02,1191.5,-0.305327183585128,0.0160365163808314
2005-06-01,2005-06-01,1191.329956,-0.210460388575994,-0.000543277201004557
2005-07-01,2005-07-01,1234.180054,0.0935646540019073,-0.00338917983162378
2005-08-01,2005-08-01,1220.329956,-0.00855015648504029,-0.00447211101645093
2005-09-01,2005-09-01,1228.810059,-0.360513103584149,-0.00653637845509775
2005-10-03,2005-10-03,1207.01001,-0.268467381482559,-0.00705951931436433
2005-11-01,2005-11-01,1249.47998,0.125288990442913,-0.00229179203255833
2005-12-01,2005-12-01,1248.290039,-0.349738846300838,0.0308811408052671
2006-01-03,2006-01-03,1280.079956,0.469262328388963,0.204718607979309
2006-02-01,2006-02-01,1280.660034,0.916912531684006,0.373648031610906
2006-03-01,2006-03-01,1294.869995,1.55489124469083,0.492241001962304
2006-04-03,2006-04-03,1310.609985,0.453879808471541,0.321764098784396
2006-05-01,2006-05-01,1270.089966,0.565350731031401,0.146777220468159
2006-06-01,2006-06-01,1270.199951,-0.624561796875847,0.0102983544401459
2006-07-03,2006-07-03,1276.660034,-0.336490760716661,0.0366110890316467
2006-08-01,2006-08-01,1303.819946,0.85736991272563,0.0688337483875422
2006-09-01,2006-09-01,1335.849976,0.530001512253132,0.0618415196906948
2006-10-02,2006-10-02,1377.939941,-0.216397403378539,0.0347699162641515
2006-11-01,2006-11-01,1400.630005,0.275788084653391,0.0115007804292041
2006-12-01,2006-12-01,1418.300049,-0.0912221466354467,0.110770061941652
2007-01-03,2007-01-03,1438.23999,0.493925560304945,0.229667287965664
2007-02-01,2007-02-01,1406.819946,1.39594942226217,0.295500331870394
2007-03-01,2007-03-01,1420.859985,0.724034717518938,0.155096030331759
2007-04-02,2007-04-02,1482.369995,-1.05719947425941,-0.481393164432303
2007-05-01,2007-05-01,1530.619995,-0.530005480371485,-1.03346954946127
2007-06-01,2007-06-01,1503.349976,-2.32908355296527,-1.7487425720221
2007-07-02,2007-07-02,1455.27002,-0.589210131702653,-1.56831210328654
2007-08-01,2007-08-01,1473.98999,-1.95082795405514,-1.4167653983807
2007-09-04,2007-09-04,1526.75,-1.13558508390741,-0.721001300983612
2007-10-01,2007-10-01,1549.380005,-0.194616433269521,-0.837039670703552
2007-11-01,2007-11-01,1481.140015,-0.18066194263731,-0.960211344619807
2007-12-03,2007-12-03,1468.359985,-2.30289773643756,-1.58660294288786
2008-01-02,2008-01-02,1378.550049,-0.140717073286932,-1.43377318283303
2008-02-01,2008-02-01,1330.630005,-1.83455930796016,-1.2858577678757
2008-03-03,2008-03-03,1322.699951,-1.243478721324,-0.680800750622479
2008-04-01,2008-04-01,1385.589966,-0.507731656688216,-0.3855740228518
2008-05-01,2008-05-01,1400.380005,-0.0455637455409513,-0.0841427226509251
2008-06-02,2008-06-02,1280,0.129976587449268,-0.0107130715408478
2008-07-01,2008-07-01,1267.380005,-0.450563752863093,-0.0364036507821468
2008-08-01,2008-08-01,1282.829956,0.262913507725501,-1.2170841112681
2008-09-02,2008-09-02,1166.359985,-0.908212442158501,-2.40045104828151
2008-10-01,2008-10-01,968.75,-3.14935818751703,-3.60220882212739
2008-11-03,2008-11-03,896.23999,-0.330477616039328,-2.4935465727067
2008-12-01,2008-12-01,903.25,-1.25929627770204,-1.37909506932136
2009-01-02,2009-01-02,825.880005,-0.0904072634509083,-0.144376867737259
2009-02-02,2009-02-02,735.090027,0.404021568805668,-0.0530375746059708
2009-03-02,2009-03-02,797.869995,0.131758607012936,0.0320779827691584
2009-04-01,2009-04-01,872.809998,0.71404641057643,0.0431138255174412
2009-05-01,2009-05-01,919.140015,-0.0363300256187241,0.0275646286750468
2009-06-01,2009-06-01,919.320007,0.113149567012331,0.0146828144725667
2009-07-01,2009-07-01,987.47998,0.222892446739582,0.00187613281930885
2009-08-03,2009-08-03,1020.619995,0.181445194026697,0.00173313010293291
2009-09-01,2009-09-01,1057.079956,0.138181829261025,0.000970792614239765
2009-10-01,2009-10-01,1036.189941,0.0102002366988492,3.76722940483647e-05
2009-11-02,2009-11-02,1095.630005,-0.167825599508857,0.013289955024216
2009-12-01,2009-12-01,1115.099976,-0.0921625424817503,0.0260542487138547
2010-01-04,2010-01-04,1073.869995,0.719154405783759,0.0389065123448011
2010-02-01,2010-02-01,1104.48999,-0.305823515858407,0.0167678239691079
2010-03-01,2010-03-01,1169.430054,-0.122292291578544,-0.169548706855111
2010-04-01,2010-04-01,1186.689941,-0.585667598328256,-0.356056429775057
2010-05-03,2010-05-03,1089.410034,-1.64916161916198,-0.481783032787836
2010-06-01,2010-06-01,1030.709961,-0.20030973178974,-0.251107600838837
2010-07-01,2010-07-01,1101.599976,0.953681058485204,-0.0129865261712545
2010-08-02,2010-08-02,1049.329956,0.879751998976763,0.155804921288346
2010-09-01,2010-09-01,1141.199951,0.571630535212552,0.111344521084317
2010-10-01,2010-10-01,1183.26001,0.399474616325309,0.0525226023285082
2010-11-01,2010-11-01,1180.550049,0.446930766544842,0.0211051293107947
2010-12-01,2010-12-01,1257.640015,-0.183214961483552,-0.00351861748003911
2011-01-03,2011-01-03,1286.119995,0.0330787846156188,-0.0250100950379627
2011-02-01,2011-02-01,1327.219971,-0.683219408213359,-0.0547691271692427
2011-03-01,2011-03-01,1325.829956,-0.48561092366078,-0.186318295697418
2011-04-01,2011-04-01,1363.609985,-0.659543401972775,-0.326927710222442
2011-05-02,2011-05-02,1345.199951,-1.51473552327889,-1.16727975120721
2011-06-01,2011-06-01,1320.640015,-0.776121496202864,-1.83754917704442
2011-07-01,2011-07-01,1292.280029,-2.69008188186564,-2.46996042105358
2011-08-01,2011-08-01,1218.890015,-1.26821134841912,-1.67001322865589
2011-09-01,2011-09-01,1131.420044,0.586427223885777,-0.844061376872191
2011-10-03,2011-10-03,1253.300049,0.299273698445899,-0.0406605873581126
2011-11-01,2011-11-01,1246.959961,0.461184761561313,0.0397543511560171
2011-12-01,2011-12-01,1257.599976,0.639858701811852,0.0574994036232788
2012-01-03,2012-01-03,1312.410034,-0.049686149846156,0.0695539802363687
2012-02-01,2012-02-01,1365.680054,0.816247759407559,0.090231851184312
2012-03-01,2012-03-01,1408.469971,0.552470949847368,0.162512683357896
2012-04-02,2012-04-02,1397.910034,0.590383024624805,0.260103498650143
2012-05-01,2012-05-01,1310.329956,1.33567048718624,0.342624657722298
2012-06-01,2012-06-01,1362.160034,0.91204150034087,0.271426210185029
2012-07-02,2012-07-02,1379.319946,0.168691776416743,0.151165906394554
2012-08-01,2012-08-01,1406.579956,0.414957008508513,0.0386900389850798
2012-09-04,2012-09-04,1440.670044,0.28849227890065,0.00930625283773164
2012-10-01,2012-10-01,1412.160034,0.241022404400566,-0.0550159477248945
2012-11-01,2012-11-01,1416.180054,0.152283154441149,-0.120199682951444
2012-12-03,2012-12-03,1426.189941,-1.182612740372,-0.17021339716263
2013-01-02,2013-01-02,1498.109985,-0.0389372639124393,-0.0972929150121809
2013-02-01,2013-02-01,1514.680054,0.701494997978951,-0.0238312802684299
2013-03-01,2013-03-01,1569.189941,-0.233479052163498,0.0241180111121277
2013-04-01,2013-04-01,1597.569946,0.0789245905037669,-0.0357198358841165
2013-05-01,2013-05-01,1630.73999,-0.125147635046681,-0.177766570571569
2013-06-03,2013-06-03,1606.280029,-1.08625814887433,-0.318548542017798
2013-07-01,2013-07-01,1685.72998,-1.3042460136768,-0.376145595932026
2013-08-01,2013-08-01,1632.969971,-0.680390378165236,-0.301392517104988
2013-09-03,2013-09-03,1681.550049,-0.672951272932639,-0.192163753156609
2013-10-01,2013-10-01,1756.540039,-0.952526387046874,-0.108579951915317
2013-11-01,2013-11-01,1805.810059,0.67155047823603,-0.0434208446063331
2013-12-02,2013-12-02,1848.359985,-0.272282276544023,-0.0155975994976259
2014-01-02,2014-01-02,1782.589966,-0.194304846510175,0.00329181305632904
2014-02-03,2014-02-03,1859.449951,-0.443753539740122,-0.00928559211424817
2014-03-03,2014-03-03,1872.339966,0.285080733626745,0.00657846249817108
2014-04-01,2014-04-01,1883.949951,-0.0348687482784956,0.0250186916704744
2014-05-01,2014-05-01,1923.569946,0.662137344532933,0.0428048669689642
2014-06-02,2014-06-02,1960.22998,0.514357995593629,0.0488503317920096
2014-07-01,2014-07-01,1930.670044,-0.218337228687802,0.0459053623214448
2014-08-01,2014-08-01,2003.369995,0.70538687209826,0.0652816947105712
2014-09-02,2014-09-02,1972.290039,0.184209827732198,0.080465778387824
2014-10-01,2014-10-01,2018.050049,0.834865109315408,0.098153902575134
2014-11-03,2014-11-03,2067.560059,0.668293527632126,0.0763909193143173
2014-12-01,2014-12-01,2058.899902,-0.382517701987207,-0.0472154038226984
2015-01-02,2015-01-02,1994.98999,0.47772948357059,-0.156939470484158
2015-02-02,2015-02-02,2104.5,-1.35789764740455,-0.247875544026585
2015-03-02,2015-03-02,2067.889893,0.635481077406008,-0.142289404431605
2015-04-01,2015-04-01,2085.51001,0.523461987477584,-0.0839001765606469
2015-05-01,2015-05-01,2107.389893,0.0229154266775838,-0.0715849957316542
2015-06-01,2015-06-01,2063.110107,-0.89004930889365,-0.180997076067906
2015-07-01,2015-07-01,2103.840088,-1.02158381882346,-0.299439309743524
2015-08-03,2015-08-03,1972.180054,-0.921617937147302,-0.333479208747167
2015-09-01,2015-09-01,1920.030029,-1.24086497961945,-1.24086497961945
2015-10-01,2015-10-01,2033.109985,0.145962565795522,0.145962565795522
