"","rownames.SPX..z.length.SPX...2...","SP500","average_indicator","smooth_indicator"
"1997-10-01","1997-10-01",914.619995,-0.123810676227635,-0.123810676227635
"1997-11-03","1997-11-03",955.400024,-0.0572426285533735,-0.0572426285533735
"1997-12-01","1997-12-01",970.429993,0.195415841485751,0.00301958182256934
"1998-01-02","1998-01-02",980.280029,0.279055570970568,0.00413486780599322
"1998-02-02","1998-02-02",1049.339966,0.261847161176665,0.00338766640561439
"1998-03-02","1998-03-02",1101.75,-0.161268919246221,0.00529589763619516
"1998-04-01","1998-04-01",1111.75,-0.170173039415548,0.344215736596724
"1998-05-01","1998-05-01",1090.819946,0.475912620960396,0.684673752418058
"1998-06-01","1998-06-01",1133.839966,2.08649401434541,1.01767785180059
"1998-07-01","1998-07-01",1120.670044,0.215041426814689,0.59357453748533
"1998-08-03","1998-08-03",957.280029,-0.153650158183708,0.0445485481558853
"1998-09-01","1998-09-01",1017.01001,-1.3143925086306,-0.527748097016646
"1998-10-01","1998-10-01",1098.670044,-1.496003579002,-0.602521724993886
"1998-11-02","1998-11-02",1163.630005,-0.905868385205896,-0.428234657078618
"1998-12-01","1998-12-01",1229.22998,-0.576802460842661,-0.198594872192126
"1999-01-04","1999-01-04",1279.640015,0.264491665026924,-0.0119099811696798
"1999-02-01","1999-02-01",1238.329956,0.225351332499433,0.0493634428023614
"1999-03-01","1999-03-01",1286.369995,0.899255815503242,0.0822176577202001
"1999-04-01","1999-04-01",1335.180054,-0.100271629928708,0.0540754793943623
"1999-05-03","1999-05-03",1301.839966,-0.102508225290303,0.0260382650551088
"1999-06-01","1999-06-01",1372.709961,-0.084974085949619,-0.0014044397527183
"1999-07-01","1999-07-01",1328.719971,-0.260536619986847,-0.00186215154907094
"1999-08-02","1999-08-02",1320.410034,0.134872134442508,-0.167241070757768
"1999-09-01","1999-09-01",1282.709961,0.0558872937453937,-0.333186816681885
"1999-10-01","1999-10-01",1362.930054,-1.64940101082211,-1.00471701781215
"1999-11-01","1999-11-01",1388.910034,-0.210447949918636,-1.35026436897714
"1999-12-01","1999-12-01",1469.25,-2.38987736580642,-1.64072595687469
"2000-01-03","2000-01-03",1394.459961,-0.537453791438466,-0.918349992828134
"2000-02-01","2000-02-01",1366.420044,1.13605630142451,-0.467530601658252
"2000-03-01","2000-03-01",1498.579956,0.360380569004701,-0.0629321444403001
"2000-04-03","2000-04-03",1452.430054,-1.46671688690173,-0.164558961316868
"2000-05-01","2000-05-01",1420.599976,1.19203006539908,-0.0320996728705162
"2000-06-01","2000-06-01",1454.599976,0.422359087216282,0.0338348615472945
"2000-07-03","2000-07-03",1430.829956,0.54847819843317,0.0960774500899468
"2000-08-01","2000-08-01",1517.680054,0.500274915030581,0.0363156387455818
"2000-09-01","2000-09-01",1436.51001,0.161346044940609,0.0482037173222145
"2000-10-02","2000-10-02",1429.400024,0.576061133697608,0.0504321913870424
"2000-11-01","2000-11-01",1314.949951,0.788995989634108,0.0429920877431665
"2000-12-01","2000-12-01",1320.280029,-0.689469787612597,0.00361874677057952
"2001-01-02","2001-01-02",1366.01001,-0.352288996835763,-0.0318349268979672
"2001-02-01","2001-02-01",1239.939941,-0.171910949510236,-0.577037906453728
"2001-03-01","2001-03-01",1160.329956,-0.821240334904593,-1.10431227287422
"2001-04-02","2001-04-02",1249.459961,-2.41254075285627,-1.60379070643057
"2001-05-01","2001-05-01",1255.819946,-0.258383072444116,-1.06473014563932
"2001-06-01","2001-06-01",1224.380005,-0.309005181661689,-0.524527091540492
"2001-07-02","2001-07-02",1211.22998,0.0842263810659418,-0.145378984678465
"2001-08-01","2001-08-01",1133.579956,0.112599877294715,-0.281960843778348
"2001-09-04","2001-09-04",1040.939941,-1.56779627964135,-0.420806790857806
"2001-10-01","2001-10-01",1059.780029,0.490935967619247,-0.29157104935139
"2001-11-01","2001-11-01",1139.449951,-0.344891812025567,-0.171099449577039
"2001-12-03","2001-12-03",1148.079956,-0.760319186543215,-0.0475408442306383
"2002-01-02","2002-01-02",1130.199951,-0.0834148481218107,-0.0341473903593542
"2002-02-01","2002-02-01",1106.72998,-0.0504604202526911,-0.0162085520568712
"2002-03-01","2002-03-01",1147.390015,0.0467666991775747,0.000220232322055011
"2002-04-01","2002-04-01",1076.920044,0.147974344133477,0.000564569745703038
"2002-05-01","2002-05-01",1067.140015,-0.0150665766716103,0.000620273583720184
"2002-06-03","2002-06-03",989.820007,0.176021994100115,0.00372618755917125
"2002-07-01","2002-07-01",911.619995,-0.0901434106198963,0.027042588445735
"2002-08-01","2002-08-01",916.070007,0.435289486227134,0.0468943631716892
"2002-09-03","2002-09-03",815.280029,0.822530602985628,0.0567240671346975
"2002-10-01","2002-10-01",885.76001,-0.46143533018741,0.0253884104033882
"2002-11-01","2002-11-01",936.309998,-0.472722770945813,0.00136446893993271
"2002-12-02","2002-12-02",879.820007,-0.157963169479242,-0.0102322896212533
"2003-01-02","2003-01-02",855.700012,0.118138291117977,0.0224499446756084
"2003-02-03","2003-02-03",841.150024,0.346997203621917,0.0516142060553456
"2003-03-03","2003-03-03",848.179993,0.857788257706977,0.000992030805923505
"2003-04-01","2003-04-01",916.919983,0.187220438132881,-0.0801559274320849
"2003-05-01","2003-05-01",963.590027,-1.25253546373647,-0.174755303127873
"2003-06-02","2003-06-02",974.5,0.761780110583719,-0.200401520830573
"2003-07-01","2003-07-01",990.309998,-0.705877301128267,-0.215300523386157
"2003-08-01","2003-08-01",1008.01001,-1.2826316840353,-0.204150801984109
"2003-09-02","2003-09-02",995.969971,0.815905238257289,-0.112850421280032
"2003-10-01","2003-10-01",1050.709961,-0.188253237642073,-0.0525934787882252
"2003-11-03","2003-11-03",1058.199951,-0.450001353340155,-0.00521175816278626
"2003-12-01","2003-12-01",1111.920044,-0.578838527748158,-0.0291606746600658
"2004-01-02","2004-01-02",1131.130005,-0.210005548375088,-0.017608192753707
"2004-02-02","2004-02-02",1144.939941,0.12461255804191,-0.00709977848212043
"2004-03-01","2004-03-01",1126.209961,0.301855741835474,-0.230110472650502
"2004-04-01","2004-04-01",1107.300049,-0.34211409049593,-0.462341553003384
"2004-05-03","2004-05-03",1120.680054,-1.83807968231706,-0.694269587612051
"2004-06-01","2004-06-01",1140.839966,0.00418160290350198,-0.464474955094528
"2004-07-01","2004-07-01",1101.719971,-0.397145301107002,-0.216736804517384
"2004-08-02","2004-08-02",1104.23999,0.354464870232489,0.0342098164052398
"2004-09-01","2004-09-01",1114.579956,0.770246156055824,0.0587321945050688
"2004-10-01","2004-10-01",1130.199951,0.111640248162617,0.0497063843860156
"2004-11-01","2004-11-01",1173.819946,0.570457446468345,0.0422011990445978
"2004-12-01","2004-12-01",1211.920044,0.201166520365416,0.032532170234769
"2005-01-03","2005-01-03",1181.27002,0.473974498124128,0.0537938615451332
"2005-02-01","2005-02-01",1203.599976,0.644985339259487,0.0694301874302386
"2005-03-01","2005-03-01",1180.589966,0.733376530850811,0.0708576059681173
"2005-04-01","2005-04-01",1156.849976,0.390794287764453,0.0430186199580644
"2005-05-02","2005-05-02",1191.5,-0.319596085266191,0.0147333201568679
"2005-06-01","2005-06-01",1191.329956,-0.211445733430449,-0.001196202770374
"2005-07-01","2005-07-01",1234.180054,0.0941526115560437,-0.00357952577548458
"2005-08-01","2005-08-01",1220.329956,-0.000238799607146709,-0.0045093100715257
"2005-09-01","2005-09-01",1228.810059,-0.362411407322646,-0.00658715341199502
"2005-10-03","2005-10-03",1207.01001,-0.265746583468564,-0.00729605336954964
"2005-11-01","2005-11-01",1249.47998,0.118082479018468,-0.00227634237936066
"2005-12-01","2005-12-01",1248.290039,-0.365393675064593,0.0321893776546882
"2006-01-03","2006-01-03",1280.079956,0.488124371418427,0.205329737562511
"2006-02-01","2006-02-01",1280.660034,0.927673377843571,0.372417777822331
"2006-03-01","2006-03-01",1294.869995,1.5458781715099,0.486819541278086
"2006-04-03","2006-04-03",1310.609985,0.444730339763559,0.316673281600457
"2006-05-01","2006-05-01",1270.089966,0.556662174776895,0.143007773129766
"2006-06-01","2006-06-01",1270.199951,-0.626175097769552,0.009424176125354
"2006-07-03","2006-07-03",1276.660034,-0.328350568554176,0.0362758663336666
"2006-08-01","2006-08-01",1303.819946,0.856746910489088,0.0687244135857804
"2006-09-01","2006-09-01",1335.849976,0.527123775942338,0.0618770482544805
"2006-10-02","2006-10-02",1377.939941,-0.197018463260935,0.035062750571438
"2006-11-01","2006-11-01",1400.630005,0.289434226695034,0.0123933231428206
"2006-12-01","2006-12-01",1418.300049,-0.0868109080120357,0.112765141597506
"2007-01-03","2007-01-03",1438.23999,0.509186542376404,0.232729333726478
"2007-02-01","2007-02-01",1406.819946,1.39961577765674,0.301087244780416
"2007-03-01","2007-03-01",1420.859985,0.725089527587698,0.160993636154985
"2007-04-02","2007-04-02",1482.369995,-1.03902013366423,-0.495062657496145
"2007-05-01","2007-05-01",1530.619995,-0.55282816493065,-1.07104615040488
"2007-06-01","2007-06-01",1503.349976,-2.36141419384692,-1.81885717656929
"2007-07-02","2007-07-02",1455.27002,-0.597607789391509,-1.63527632085539
"2007-08-01","2007-08-01",1473.98999,-1.97630320229386,-1.47779634553899
"2007-09-04","2007-09-04",1526.75,-1.16211213352692,-0.755072123175102
"2007-10-01","2007-10-01",1549.380005,-0.21464803167606,-0.868853318189104
"2007-11-01","2007-11-01",1481.140015,-0.195213443819932,-0.989927764822518
"2007-12-03","2007-12-03",1468.359985,-2.32429336611004,-1.6146323853009
"2008-01-02","2008-01-02",1378.550049,-0.14843385851274,-1.43810520219957
"2008-02-01","2008-02-01",1330.630005,-1.80634579581629,-1.26687158608938
"2008-03-03","2008-03-03",1322.699951,-1.24085007974951,-0.659332531272333
"2008-04-01","2008-04-01",1385.589966,-0.51872646171808,-0.375248424419834
"2008-05-01","2008-05-01",1400.380005,-0.0481443776430689,-0.0843010821879103
"2008-06-02","2008-06-02",1280,0.130896089201295,-0.0110338525191044
"2008-07-01","2008-07-01",1267.380005,-0.449096338101514,-0.0370738743222242
"2008-08-01","2008-08-01",1282.829956,0.253614783097093,-1.23123480835437
"2008-09-02","2008-09-02",1166.359985,-0.915080213079843,-2.42801462471875
"2008-10-01","2008-10-01",968.75,-3.16087920344573,-3.63688784825018
"2008-11-03","2008-11-03",896.23999,-0.336117872224014,-2.50981537641037
"2008-12-01","2008-12-01",903.25,-1.23009307309278,-1.37679894021236
"2009-01-02","2009-01-02",825.880005,-0.0830102509256682,-0.134189588554827
"2009-02-02","2009-02-02",735.090027,0.408622054250664,-0.0479707961599666
"2009-03-02","2009-03-02",797.869995,0.13911264668875,0.0317866207840206
"2009-04-01","2009-04-01",872.809998,0.709497993770322,0.042457486547387
"2009-05-01","2009-05-01",919.140015,-0.030101761012067,0.0270414375116948
"2009-06-01","2009-06-01",919.320007,0.110161970780366,0.0143612302009335
"2009-07-01","2009-07-01",987.47998,0.219184338970983,0.00177800818632969
"2009-08-03","2009-08-03",1020.619995,0.177419355411616,0.00164270900343466
"2009-09-01","2009-09-01",1057.079956,0.137510866628922,0.000940688065500172
"2009-10-01","2009-10-01",1036.189941,0.0116298420202253,6.44062760256424e-05
"2009-11-02","2009-11-02",1095.630005,-0.160113602582273,0.012420285113913
"2009-12-01","2009-12-01",1115.099976,-0.0944092486327867,0.0244143667807785
"2010-01-04","2010-01-04",1073.869995,0.702536024501632,0.0365104597042297
"2010-02-01","2010-02-01",1104.48999,-0.286687336412541,0.0152607238509668
"2010-03-01","2010-03-01",1169.430054,-0.115201440545641,-0.177897175038191
"2010-04-01","2010-04-01",1186.689941,-0.591410961198107,-0.371353954143056
"2010-05-03","2010-05-03",1089.410034,-1.67323016419912,-0.504747227876411
"2010-06-01","2010-06-01",1030.709961,-0.217478429955703,-0.265592098906465
"2010-07-01","2010-07-01",1101.599976,0.951433175715174,-0.0183895552224626
"2010-08-02","2010-08-02",1049.329956,0.893486869719647,0.159906957449976
"2010-09-01","2010-09-01",1141.199951,0.583080107767416,0.115267331104741
"2010-10-01","2010-10-01",1183.26001,0.409989125540241,0.0553509230551867
"2010-11-01","2010-11-01",1180.550049,0.451174014430881,0.0222296608017588
"2010-12-01","2010-12-01",1257.640015,-0.178768284064526,-0.00273280469135365
"2011-01-03","2011-01-03",1286.119995,0.0338507688675599,-0.0240835544100881
"2011-02-01","2011-02-01",1327.219971,-0.676294498920594,-0.0538211517372934
"2011-03-01","2011-03-01",1325.829956,-0.48223902554704,-0.181631079795088
"2011-04-01","2011-04-01",1363.609985,-0.665905694242512,-0.317752207663681
"2011-05-02","2011-05-02",1345.199951,-1.49754151102092,-1.10869076619384
"2011-06-01","2011-06-01",1320.640015,-0.762305435857401,-1.73628194477374
"2011-07-01","2011-07-01",1292.280029,-2.63381256166376,-2.3284614817992
"2011-08-01","2011-08-01",1218.890015,-1.25932562787356,-1.57735348012983
"2011-09-01","2011-09-01",1131.420044,0.567011326382347,-0.799268184473759
"2011-10-03","2011-10-03",1253.300049,0.283129181499849,-0.0415987110543459
"2011-11-01","2011-11-01",1246.959961,0.45223200972786,0.0376907070850401
"2011-12-01","2011-12-01",1257.599976,0.635246490105707,0.0567691491999508
"2012-01-03","2012-01-03",1312.410034,-0.0578845594150763,0.0700191869051249
"2012-02-01","2012-02-01",1365.680054,0.822509086292227,0.091986260572775
"2012-03-01","2012-03-01",1408.469971,0.557237909502854,0.166276140713236
"2012-04-02","2012-04-02",1397.910034,0.596531687368491,0.266679791728743
"2012-05-01","2012-05-01",1310.329956,1.3449961545426,0.351601609895761
"2012-06-01","2012-06-01",1362.160034,0.92629663484485,0.27983013252746
"2012-07-02","2012-07-02",1379.319946,0.188858611804476,0.156652840342389
"2012-08-01","2012-08-01",1406.579956,0.42921381470783,0.0414093156880172
"2012-09-04","2012-09-04",1440.670044,0.305758974398139,0.0105509504432324
"2012-10-01","2012-10-01",1412.160034,0.248838062061966,-0.0500312954468917
"2012-11-01","2012-11-01",1416.180054,0.150736354339606,-0.111511253891353
"2012-12-03","2012-12-03",1426.189941,-1.15484057770556,-0.158258409942291
"2013-01-02","2013-01-02",1498.109985,-0.0540694614036218,-0.0903063627013377
