"","rownames.SPX..z.length.SPX...2...","SP500","average_indicator","smooth_indicator"
"1997-10-01","1997-10-01",914.619995,-0.135440181833822,-0.135440181833822
"1997-11-03","1997-11-03",955.400024,-0.0219337903015098,-0.0219337903015098
"1997-12-01","1997-12-01",970.429993,0.249561118613874,0.00800227616914138
"1998-01-02","1998-01-02",980.280029,0.348410793346918,0.0123319314354812
"1998-02-02","1998-02-02",1049.339966,0.44370035347911,0.0134330475834464
"1998-03-02","1998-03-02",1101.75,0.0672077193328979,0.0109220790897014
"1998-04-01","1998-04-01",1111.75,-0.0462305533418552,0.438996170779887
"1998-05-01","1998-05-01",1090.819946,0.425775924661902,0.868684313151915
"1998-06-01","1998-06-01",1133.839966,2.26440866193653,1.2955894077344
"1998-07-01","1998-07-01",1120.670044,0.102855681606968,0.825139466616242
"1998-08-03","1998-08-03",957.280029,-0.200994100645278,0.292225277201327
"1998-09-01","1998-09-01",1017.01001,-1.00238355253279,-0.248879332777458
"1998-10-01","1998-10-01",1098.670044,-1.18978825804188,-0.292544871355778
"1998-11-02","1998-11-02",1163.630005,-0.680098006704432,-0.210718611600291
"1998-12-01","1998-12-01",1229.22998,-0.579235428679745,-0.10559095322494
"1999-01-04","1999-01-04",1279.640015,0.265291865077784,-0.0112566738333899
"1999-02-01","1999-02-01",1238.329956,0.201009064923717,0.0192838022123696
"1999-03-01","1999-03-01",1286.369995,0.688986581956451,0.0373708578537757
"1999-04-01","1999-04-01",1335.180054,-0.0940047832945095,0.0239130105522183
"1999-05-03","1999-05-03",1301.839966,-0.175775895574978,0.00951423277306432
"1999-06-01","1999-06-01",1372.709961,-0.148028244408356,-0.00418145342646864
"1999-07-01","1999-07-01",1328.719971,-0.357622517341498,-0.00561137262550087
"1999-08-02","1999-08-02",1320.410034,-0.00565619938722196,-0.242712676386847
"1999-09-01","1999-09-01",1282.709961,-0.133424718347465,-0.480696286922188
"1999-10-01","1999-10-01",1362.930054,-1.8618207903552,-1.35668345058342
"1999-11-01","1999-11-01",1388.910034,-0.263961368890434,-1.7589903073662
"1999-12-01","1999-12-01",1469.25,-2.58270587159818,-2.12907499625402
"2000-01-03","2000-01-03",1394.459961,-0.416859103557267,-1.21982594801048
"2000-02-01","2000-02-01",1366.420044,0.940991626833854,-0.58462172732521
"2000-03-01","2000-03-01",1498.579956,0.44677628236283,0.0214879078688314
"2000-04-03","2000-04-03",1452.430054,-1.02924149814503,-0.0152814214598853
"2000-05-01","2000-05-01",1420.599976,0.965227779223341,0.0313009510450219
"2000-06-01","2000-06-01",1454.599976,0.364008479349663,0.0482252930509801
"2000-07-03","2000-07-03",1430.829956,0.522083357193736,0.0653159753699999
"2000-08-01","2000-08-01",1517.680054,0.547987166971055,0.0386105657344302
"2000-09-01","2000-09-01",1436.51001,0.22749924582753,0.049097873068082
"2000-10-02","2000-10-02",1429.400024,0.577329988210762,0.04941206934894
"2000-11-01","2000-11-01",1314.949951,0.757143480318925,0.0406444477894201
"2000-12-01","2000-12-01",1320.280029,-0.668954375093751,0.00582006120184964
"2001-01-02","2001-01-02",1366.01001,-0.138456900314013,-0.0162819375654558
"2001-02-01","2001-02-01",1239.939941,0.0124298612514862,-0.538173225454796
"2001-03-01","2001-03-01",1160.329956,-0.643914859419011,-1.0475451482031
"2001-04-02","2001-04-02",1249.459961,-2.39233952971063,-1.54903526460249
"2001-05-01","2001-05-01",1255.819946,-0.457914478167579,-1.03637332677936
"2001-06-01","2001-06-01",1224.380005,-0.279362093772313,-0.516528391758343
"2001-07-02","2001-07-02",1211.22998,0.0871294168359494,-0.0877600510831128
"2001-08-01","2001-08-01",1133.579956,0.123916962779858,-0.164251714497433
"2001-09-04","2001-09-04",1040.939941,-1.30758652687992,-0.24596344203978
"2001-10-01","2001-10-01",1059.780029,0.371694013912996,-0.179301369014942
"2001-11-01","2001-11-01",1139.449951,-0.345152310164397,-0.116498621065927
"2001-12-03","2001-12-03",1148.079956,-0.762591721121625,-0.0505868105830604
"2002-01-02","2002-01-02",1130.199951,-0.129253705016292,-0.034628586395659
"2002-02-01","2002-02-01",1106.72998,-0.0579073174137937,-0.0166071428560767
"2002-03-01","2002-03-01",1147.390015,-0.0283432119285796,-9.42290454865198e-05
"2002-04-01","2002-04-01",1076.920044,0.0330929433903058,0.000145938666726568
"2002-05-01","2002-05-01",1067.140015,-0.0085444015741276,0.000304060678732088
"2002-06-03","2002-06-03",989.820007,0.159694515745713,0.00837571081573506
"2002-07-01","2002-07-01",911.619995,0.0255242573853564,0.0423555390530386
"2002-08-01","2002-08-01",916.070007,0.598010251310398,0.074085432125586
"2002-09-03","2002-09-03",815.280029,0.891143060617232,0.104128172806869
"2002-10-01","2002-10-01",885.76001,-0.393113869694819,0.0818360340481408
"2002-11-01","2002-11-01",936.309998,0.725687901397569,0.064233307268951
"2002-12-02","2002-12-02",879.820007,-0.12020424478166,0.0286888209613325
"2003-01-02","2003-01-02",855.700012,0.172074104616341,0.0400311782343497
"2003-02-03","2003-02-03",841.150024,0.404209872319481,0.0488616868836308
"2003-03-03","2003-03-03",848.179993,0.821689138994785,0.035524141259752
"2003-04-01","2003-04-01",916.919983,0.146144352182466,0.00440853696755008
"2003-05-01","2003-05-01",963.590027,-0.946754276183686,-0.0394960554283616
"2003-06-02","2003-06-02",974.5,0.857848400129809,-0.0835401610968388
"2003-07-01","2003-07-01",990.309998,-0.700784802948556,-0.148378900117612
"2003-08-01","2003-08-01",1008.01001,-1.20897058004805,-0.189519086893285
"2003-09-02","2003-09-02",995.969971,0.526984744574291,-0.137838153151428
"2003-10-01","2003-10-01",1050.709961,-0.372220333366809,-0.0856471684421954
"2003-11-03","2003-11-03",1058.199951,-0.563887913297896,-0.0432122408127696
"2003-12-01","2003-12-01",1111.920044,-0.687408639279465,-0.0526566193999269
"2004-01-02","2004-01-02",1131.130005,-0.281889159563949,-0.0299487550109183
"2004-02-02","2004-02-02",1144.939941,0.197499296177687,-0.00868018290853091
"2004-03-01","2004-03-01",1126.209961,0.416241605533219,-0.181951714963355
"2004-04-01","2004-04-01",1107.300049,-0.317774887974205,-0.372637117843507
"2004-05-03","2004-05-03",1120.680054,-1.71654845809246,-0.592148127666156
"2004-06-01","2004-06-01",1140.839966,-0.103827141052179,-0.435817781192364
"2004-07-01","2004-07-01",1101.719971,-0.936016958174699,-0.257365569443831
"2004-08-02","2004-08-02",1104.23999,0.289489216137618,-0.0193542436900574
"2004-09-01","2004-09-01",1114.579956,0.805655256984493,0.0363709225863398
"2004-10-01","2004-10-01",1130.199951,0.0354128629966295,0.053392198287423
"2004-11-01","2004-11-01",1173.819946,0.569463650831322,0.0416498607462718
"2004-12-01","2004-12-01",1211.920044,0.125661151390652,0.0253218486045286
"2005-01-03","2005-01-03",1181.27002,0.351804801795836,0.0399180436582484
"2005-02-01","2005-02-01",1203.599976,0.604838519075292,0.0520318925001164
"2005-03-01","2005-03-01",1180.589966,0.681119209889346,0.0533836282310729
"2005-04-01","2005-04-01",1156.849976,0.27151242428971,0.0313623060290187
"2005-05-02","2005-05-02",1191.5,-0.319817793104598,0.00952830328691964
"2005-06-01","2005-06-01",1191.329956,-0.102680678122478,-0.00166582632463724
"2005-07-01","2005-07-01",1234.180054,0.115659266686985,-0.00198537984698233
"2005-08-01","2005-08-01",1220.329956,0.0836156168133933,-0.00200049610348112
"2005-09-01","2005-09-01",1228.810059,-0.290592372803008,-0.00326405130345606
"2005-10-03","2005-10-03",1207.01001,-0.205682468739228,-0.0057054057124085
"2005-11-01","2005-11-01",1249.47998,0.0557651237432426,0.00194192706136771
"2005-12-01","2005-12-01",1248.290039,-0.430519483088937,0.0409405546686895
"2006-01-03","2006-01-03",1280.079956,0.632840507203793,0.194037822040286
"2006-02-01","2006-02-01",1280.660034,0.945872093993095,0.329317687680295
"2006-03-01","2006-03-01",1294.869995,1.43348053076692,0.404956604141894
"2006-04-03","2006-04-03",1310.609985,0.325606082624382,0.251467084934824
"2006-05-01","2006-05-01",1270.089966,0.434475221673844,0.104417381876643
"2006-06-01","2006-06-01",1270.199951,-0.599490502729338,0.00470607166034892
"2006-07-03","2006-07-03",1276.660034,-0.2191729043375,0.0364349934275586
"2006-08-01","2006-08-01",1303.819946,0.841516572959244,0.0702223525079068
"2006-09-01","2006-09-01",1335.849976,0.556533453308451,0.0656673909142005
"2006-10-02","2006-10-02",1377.939941,0.00823453908423543,0.0403641468407228
"2006-11-01","2006-11-01",1400.630005,0.420931743472418,0.0220940470980464
"2006-12-01","2006-12-01",1418.300049,-0.0155740637737297,0.108561876475784
"2007-01-03","2007-01-03",1438.23999,0.585216877536018,0.214624185971417
"2007-02-01","2007-02-01",1406.819946,1.33535488828452,0.285413298908958
"2007-03-01","2007-03-01",1420.859985,0.709177509824307,0.169989673742437
"2007-04-02","2007-04-02",1482.369995,-0.820079372065193,-0.68091823331392
"2007-05-01","2007-05-01",1530.619995,-0.697945950402093,-1.49865305587307
"2007-06-01","2007-06-01",1503.349976,-2.67516013396341,-2.2556192723018
"2007-07-02","2007-07-02",1455.27002,-0.741569191761053,-1.65485384947854
"2007-08-01","2007-08-01",1473.98999,-1.1240950176254,-1.04548496553779
"2007-09-04","2007-09-04",1526.75,-1.25726619038972,-0.343633511150597
"2007-10-01","2007-10-01",1549.380005,-0.316794501277583,-0.777673865285585
"2007-11-01","2007-11-01",1481.140015,-0.155647876941462,-1.2247158855812
"2007-12-03","2007-12-03",1468.359985,-2.4932678318179,-1.83545656646677
"2008-01-02","2008-01-02",1378.550049,-0.189674900559174,-1.4258953271078
"2008-02-01","2008-02-01",1330.630005,-1.44337214222305,-1.0244177198588
"2008-03-03","2008-03-03",1322.699951,-1.13514282737888,-0.400424903875333
"2008-04-01","2008-04-01",1385.589966,-0.58491334219755,-0.242095463575497
"2008-05-01","2008-05-01",1400.380005,-0.1327570472696,-0.0724535547944897
"2008-06-02","2008-06-02",1280,0.0938063747284765,-0.0139217264155581
"2008-07-01","2008-07-01",1267.380005,-0.444736765796935,-0.0353011374897469
"2008-08-01","2008-08-01",1282.829956,0.1331175116925,-1.17940037036771
"2008-09-02","2008-09-02",1166.359985,-0.885047234001987,-2.32529992500521
"2008-10-01","2008-10-01",968.75,-3.1171869571757,-3.44563166631087
"2008-11-03","2008-11-03",896.23999,-0.346359996894843,-2.32557304237037
"2008-12-01","2008-12-01",903.25,-0.886644238310196,-1.19993576909802
"2009-01-02","2009-01-02",825.880005,0.00678182649937459,-0.0481445544261247
"2009-02-02","2009-02-02",735.090027,0.402407003424865,-0.00957515745110384
"2009-03-02","2009-03-02",797.869995,0.17513803946533,0.0226280736697744
"2009-04-01","2009-04-01",872.809998,0.614696119022469,0.0286177157434206
"2009-05-01","2009-05-01",919.140015,-0.0220078155025874,0.0174852490413496
"2009-06-01","2009-06-01",919.320007,0.0125219469817563,0.00878360641912078
"2009-07-01","2009-07-01",987.47998,0.130652137976994,0.00031490421359582
"2009-08-03","2009-08-03",1020.619995,0.0765515885706776,0.000285706146237066
"2009-09-01","2009-09-01",1057.079956,0.0973029367996305,0.000206212979286021
"2009-10-01","2009-10-01",1036.189941,0.0398602623460744,-1.81966716412116e-05
"2009-11-02","2009-11-02",1095.630005,-0.0766366991943412,0.00442799644797006
"2009-12-01","2009-12-01",1115.099976,-0.127490467832088,0.00869999194304325
"2010-01-04","2010-01-04",1073.869995,0.498666725880956,0.0130058941327599
"2010-02-01","2010-02-01",1104.48999,-0.182236922714313,-0.0064127076326064
"2010-03-01","2010-03-01",1169.430054,-0.160702433149964,-0.191484382171339
"2010-04-01","2010-04-01",1186.689941,-0.73224648641584,-0.376780657965126
"2010-05-03","2010-05-03",1089.410034,-1.64903980224645,-0.493011795198576
"2010-06-01","2010-06-01",1030.709961,-0.230787439315293,-0.235116549871253
"2010-07-01","2010-07-01",1101.599976,0.984946870202084,0.0356130336913079
"2010-08-02","2010-08-02",1049.329956,1.04430481934239,0.226237795526474
"2010-09-01","2010-09-01",1141.199951,0.688303981706866,0.17041355171204
"2010-10-01","2010-10-01",1183.26001,0.520265291578748,0.0898678119947843
"2010-11-01","2010-11-01",1180.550049,0.476138501505489,0.0342872821018545
"2010-12-01","2010-12-01",1257.640015,-0.144272077889551,0.00555856787863833
"2011-01-03","2011-01-03",1286.119995,0.0575196322952454,-0.012890745000558
"2011-02-01","2011-02-01",1327.219971,-0.582850081329974,-0.0339834294901102
"2011-03-01","2011-03-01",1325.829956,-0.379265833312683,-0.100865486573564
"2011-04-01","2011-04-01",1363.609985,-0.596098518577805,-0.170012076065091
"2011-05-02","2011-05-02",1345.199951,-1.20283181329762,-0.504319880573722
"2011-06-01","2011-06-01",1320.640015,-0.550960942363882,-0.744041430313949
"2011-07-01","2011-07-01",1292.280029,-1.96464283456065,-0.966013446179759
"2011-08-01","2011-08-01",1218.890015,-0.899873773398269,-0.633378683480814
"2011-09-01","2011-09-01",1131.420044,0.584115426696854,-0.307819156918379
"2011-10-03","2011-10-03",1253.300049,0.2707868384748,0.00633455014764929
"2011-11-01","2011-11-01",1246.959961,0.451180971578428,0.038156591235708
"2011-12-01","2011-12-01",1257.599976,0.636511874645333,0.0544705841281703
"2012-01-03","2012-01-03",1312.410034,-0.0418364242050515,0.062361580793592
"2012-02-01","2012-02-01",1365.680054,0.790334025564363,0.0770081026790028
"2012-03-01","2012-03-01",1408.469971,0.44655224148783,0.152922377702572
"2012-04-02","2012-04-02",1397.910034,0.545581284737642,0.274642750904919
"2012-05-01","2012-05-01",1310.329956,1.36614618913651,0.386835826060836
"2012-06-01","2012-06-01",1362.160034,1.04980390214626,0.334146092609377
"2012-07-02","2012-07-02",1379.319946,0.407424807765527,0.201580499285216
"2012-08-01","2012-08-01",1406.579956,0.535927490301409,0.0709075482814413
