Date,3m-tbill,3m-commercial,10y-note,federal fund rate,m2,policy rate
"Dec, 1996",,,,,3800.5,
"Jan, 1997",5.03,5.32,6.58,5.25,3816.5,5.37
"Feb, 1997",5.01,5.28,6.42,5.19,3827.4,5.5
"Mar, 1997",5.14,5.42,6.7,5.39,3842.7,5.5
"Apr, 1997",5.16,5.6,6.89,5.51,3859.9,5.82
"May, 1997",5.05,5.6,6.71,5.5,3868.9,5.58
"Jun, 1997",4.93,5.56,6.49,5.56,3886.8,6.87
"Jul, 1997",5.05,5.51,6.22,5.52,3904.3,5.96
"Aug, 1997",5.14,5.5,6.3,5.54,3934,5.52
"Sep, 1997",4.95,5.51,6.21,5.54,3954.7,5.81
"Oct, 1997",4.97,5.55,6.03,5.5,3972.5,5.56
"Nov, 1997",5.14,5.64,5.88,5.52,3992.8,5.5
"Dec, 1997",5.16,5.7,5.81,5.5,4012.9,5.84
"Jan, 1998",5.04,5.44,5.54,5.56,4036.5,5.48
"Feb, 1998",5.09,5.45,5.57,5.51,4063.8,5.67
"Mar, 1998",5.03,5.49,5.65,5.49,4094.1,5.88
"Apr, 1998",4.95,5.48,5.64,5.45,4120.7,5.59
"May, 1998",5,5.5,5.65,5.49,4140.7,5.63
"Jun, 1998",4.98,5.5,5.5,5.56,4164.1,7.06
"Jul, 1998",4.96,5.5,5.46,5.54,4183.8,5.63
"Aug, 1998",4.9,5.5,5.34,5.55,4207.4,5.89
"Sep, 1998",4.61,5.32,4.81,5.51,4246.7,6.14
"Oct, 1998",3.96,5.09,4.53,5.07,4281.9,5.35
"Nov, 1998",4.41,5.15,4.83,4.83,4323,5.11
"Dec, 1998",4.39,5.04,4.64,4.68,4352.4,4.07
"Jan, 1999",4.34,4.81,4.72,4.63,4377.3,4.79
"Feb, 1999",4.44,4.82,5,4.76,4401.9,4.84
"Mar, 1999",4.44,4.84,5.23,4.81,4409.8,4.98
"Apr, 1999",4.29,4.8,5.18,4.74,4438.1,5.03
"May, 1999",4.5,4.83,5.54,4.74,4460.8,4.61
"Jun, 1999",4.57,5.04,5.9,4.76,4484.2,5.12
"Jul, 1999",4.55,5.14,5.79,4.99,4508.8,5.07
"Aug, 1999",4.72,5.28,5.94,5.07,4527.7,5.57
"Sep, 1999",4.68,5.32,5.92,5.22,4543.3,5.51
